step,episode,reward,epsilon,loss,duration
388166,346,-14.0,0.01,0.010259479785727997,4.13774037361145
390210,347,-11.0,0.01,0.010522571241313596,4.539300441741943
391627,348,-20.0,0.01,0.010790946329075653,3.321287155151367
393474,349,-14.0,0.01,0.009304274308991122,4.283727645874023
395052,350,-19.0,0.01,0.008365304756886032,3.4702746868133545
397387,351,-5.0,0.01,0.008381345446699173,5.1136815547943115
399648,352,-10.0,0.01,0.007550605456756145,5.16828989982605
400775,353,-21.0,0.01,0.0075598309699817165,2.465203285217285
402194,354,-18.0,0.01,0.007664608337562269,3.26267147064209
404536,355,-5.0,0.01,0.00728779598004137,6.140195369720459
406299,356,-21.0,0.01,0.007814969773806463,4.0468590259552
407906,357,-21.0,0.01,0.0078872052682749,3.808788776397705
410164,358,-11.0,0.01,0.008335404267814834,6.02793550491333
412394,359,-17.0,0.01,0.007448705181828909,5.0994873046875
414441,360,-11.0,0.01,0.008038053515747379,4.871496200561523
416491,361,-16.0,0.01,0.007300317338376772,4.984972715377808
418702,362,-16.0,0.01,0.007464378055818312,4.887056589126587
421412,363,-2.0,0.01,0.006916612504664149,6.238280534744263
424211,364,-15.0,0.01,0.006104863490089934,6.198655605316162
426115,365,-19.0,0.01,0.005949808483475726,4.361425399780273
428257,366,-7.0,0.01,0.006331832437218278,4.671141624450684
431143,367,1.0,0.01,0.006675375281250551,6.474386692047119
433142,368,-18.0,0.01,0.006225639250595123,4.584714651107788
435286,369,-16.0,0.01,0.005798707164714543,4.845196485519409
437550,370,-16.0,0.01,0.0052715254653008265,4.9525604248046875
439956,371,-6.0,0.01,0.005454212423658425,5.62943696975708
442459,372,-5.0,0.01,0.005640166395530105,5.688242673873901
444190,373,-17.0,0.01,0.005085624708185364,3.9203429222106934
445479,374,-20.0,0.01,0.00577594449068275,2.8686416149139404
447585,375,-9.0,0.01,0.005986756127127985,4.848179340362549
449366,376,-20.0,0.01,0.0067106004082336185,4.092993497848511
